Document UT,Times Cited
WOS:000579154000007,2862
WOS:000566905700003,1351
WOS:000562510600001,722
WOS:000514849400031,528
WOS:000577328800020,493
WOS:000538496100001,462
WOS:000579154000005,351
WOS:000529295100005,251
WOS:000579130500005,235
WOS:000507362800001,230
WOS:000581064900032,212
WOS:000540472200026,170
WOS:000493936200001,160
WOS:000598875600015,158
WOS:000533530700009,156
WOS:000553734600001,156
WOS:000482782700001,149
WOS:000646400100017,144
WOS:000580518800038,130
WOS:000507557500023,121
WOS:000577702400010,120
WOS:000536227800014,118
WOS:000529795600018,112
WOS:000522150500008,104
WOS:000510527200021,101
WOS:000525858400002,98
WOS:000536028800019,98
WOS:000516236900001,97
WOS:000576754700005,94
WOS:000502605800024,92
WOS:000561781000001,91
WOS:000590408400012,89
WOS:000521976000018,87
WOS:000588027500001,87
WOS:000514289700003,83
WOS:000502894400010,82
WOS:000509352400013,75
WOS:000529064000031,74
WOS:000518697900016,73
WOS:000700355400006,71
WOS:000612537700009,69
WOS:000511441300001,65
WOS:000577035900006,65
WOS:000521510000004,64
WOS:000540993600024,60
WOS:000571438900011,58
WOS:000581135000010,58
WOS:000532837500022,57
WOS:000595738300001,57
WOS:000522381500002,56
WOS:000555915200023,56
WOS:000540517800001,55
WOS:000610570700001,54
WOS:000600839700012,53
WOS:000543511300012,50
WOS:000612476300113,50
WOS:000591068500001,50
WOS:000603487200001,49
WOS:000516274400001,48
WOS:000527364500002,48
WOS:000573182100005,47
WOS:000527507000001,46
WOS:000531526600001,46
WOS:001030442600001,45
WOS:000510953800084,45
WOS:000559341500005,45
WOS:000562554900001,45
WOS:000598708000008,45
WOS:000531016900001,44
WOS:000541257200005,44
WOS:000551231600011,44
WOS:000554058700001,44
WOS:000576754700003,44
WOS:000515427900011,43
WOS:000528041400012,43
WOS:000518382200021,41
WOS:000528041400008,41
WOS:000549164700001,41
WOS:000571474100007,41
WOS:000595257800015,40
WOS:000672750800005,40
WOS:000507146400001,39
WOS:000558154500003,39
WOS:000522165000017,38
WOS:000581644800008,38
WOS:000518967300001,37
WOS:000579983900003,37
WOS:000489937300001,36
WOS:000500153700001,36
WOS:000577191000008,36
WOS:000505053100022,36
WOS:000535426900028,35
WOS:000570268500017,35
WOS:000506001200044,34
WOS:000600116200020,34
WOS:000612736400015,34
WOS:000595920700010,33
WOS:000506810400002,32
WOS:000515909800001,32
WOS:000570268500021,32
WOS:000542156100019,31
WOS:000567252900001,31
WOS:000558508500005,31
WOS:000567780800008,31
WOS:000531051800022,31
WOS:000515391700100,30
WOS:000518534600007,30
WOS:000551661300003,30
WOS:000580782700021,30
WOS:000597179800031,30
WOS:000504843900012,29
WOS:000647695100012,29
WOS:000518132000001,29
WOS:000532977700004,29
WOS:000534228400001,29
WOS:000573885600013,29
WOS:000595647200027,29
WOS:000531092200016,28
WOS:000590861800001,28
WOS:000529064000011,28
WOS:000522150600007,27
WOS:000537404400042,27
WOS:000566481500004,27
WOS:000570359700001,27
WOS:000591804000001,27
WOS:000520544800001,26
WOS:000536673400001,26
WOS:000539160600008,26
WOS:000573889700032,26
WOS:000593954800007,25
WOS:000508835700001,24
WOS:000518534600001,24
WOS:000536845000003,24
WOS:000540729700001,24
WOS:000551969400003,24
WOS:000577274700003,24
WOS:000584392300190,24
WOS:000509352400001,23
WOS:000553896400001,23
WOS:000556551300056,23
WOS:000504513600014,22
WOS:000514447700001,22
WOS:000518534600006,22
WOS:000527104600009,22
WOS:000532802600002,22
WOS:000535861200002,22
WOS:000586126100003,22
WOS:000613290300012,22
WOS:000490448100001,21
WOS:000496605200024,21
WOS:000500475700001,21
WOS:000541817900017,21
WOS:000549335200001,21
WOS:000565383100001,21
WOS:000567893400001,21
WOS:000577861200022,21
WOS:000584870400001,21
WOS:000595882800006,21
WOS:000602888500016,21
WOS:000623762700001,21
WOS:000513991100004,20
WOS:000506174300001,20
WOS:000515391700118,20
WOS:000549145700001,20
WOS:000551568800008,20
WOS:000562429000006,20
WOS:000584351600001,20
WOS:000605532000002,20
WOS:000478531800001,19
WOS:000510866700001,19
WOS:000529900000001,19
WOS:000537552800216,19
WOS:000544161900001,19
WOS:000548992200001,19
WOS:000554820500010,19
WOS:000561346200007,19
WOS:000561804900002,19
WOS:000569720200001,19
WOS:000600572400014,19
WOS:000510128000001,18
WOS:000520346600001,18
WOS:000531831300142,18
WOS:000553493200001,18
WOS:000559211800001,18
WOS:000566647100001,18
WOS:000571307500001,18
WOS:000566756000010,18
WOS:000593351300014,18
WOS:000599711800005,18
WOS:000521349400001,17
WOS:000525718600013,17
WOS:000510953600046,17
WOS:000540917400002,17
WOS:000545946800006,17
WOS:000567186000002,17
WOS:000591648900003,17
WOS:000594756000001,17
WOS:000609228700001,17
WOS:000517297700001,16
WOS:000518530100004,16
WOS:000527801000162,16
WOS:000536597900013,16
WOS:000544959700007,16
WOS:000719998700001,16
WOS:000554920300021,16
WOS:000565630300002,16
WOS:000566594500001,16
WOS:000570148700001,16
WOS:000602650600001,16
WOS:000602982100003,16
WOS:000492006900002,15
WOS:000514015500008,15
WOS:000535764400001,15
WOS:000536766700003,15
WOS:000552603900022,15
WOS:000597242100006,15
WOS:000573622400002,15
WOS:000528994000003,15
WOS:000495718700001,14
WOS:000501647300024,14
WOS:000511820800001,14
WOS:000519652400035,14
WOS:000533605600001,14
WOS:000544306400001,14
WOS:000551568800014,14
WOS:000557953300001,14
WOS:000560352200017,14
WOS:000572725200001,14
WOS:000558201600003,14
WOS:000605228400001,14
WOS:000531461600001,13
WOS:000538051500005,13
WOS:000541430800004,13
WOS:000551472500001,13
WOS:000567471200006,13
WOS:000576290000001,13
WOS:000496605200023,12
WOS:000751652700030,12
WOS:000523704600001,12
WOS:000524053000001,12
WOS:000519135100026,12
WOS:000525469100012,12
WOS:000528655400052,12
WOS:000530763300020,12
WOS:000527707600005,12
WOS:000535607700001,12
WOS:000549898000096,12
WOS:000613289200008,12
WOS:000554925900018,12
WOS:000555030600005,12
WOS:000568122800001,12
WOS:000569719600001,12
WOS:000572267700001,12
WOS:000576455800001,12
WOS:000580143800007,12
WOS:000587214700001,12
WOS:000589717400001,12
WOS:000552444300002,12
WOS:000595921200024,12
WOS:000600367100014,12
WOS:000506103400010,11
WOS:000515126100004,11
WOS:000516264700001,11
WOS:000539808000001,11
WOS:000544602600002,11
WOS:000547817800001,11
WOS:000552048000001,11
WOS:000564770000020,11
WOS:000564549000010,11
WOS:000570336700001,11
WOS:000576646800008,11
WOS:000582525800001,11
WOS:000590408400020,11
WOS:000579857000001,11
WOS:000607052700002,11
WOS:000494776600002,10
WOS:000512522100001,10
WOS:000511934100002,10
WOS:000514109600001,10
WOS:000523027200003,10
WOS:000526401800040,10
WOS:000526438900003,10
WOS:000528309900015,10
WOS:000537734300004,10
WOS:000540667100003,10
WOS:000542415400001,10
WOS:000548186100006,10
WOS:000555051100001,10
WOS:000556745400014,10
WOS:000557908500002,10
WOS:000560886500001,10
WOS:000561427800039,10
WOS:000561796700008,10
WOS:000565665800022,10
WOS:000571440200013,10
WOS:000582366100014,10
WOS:000582366100018,10
WOS:000588122700001,10
WOS:000590091800001,10
WOS:000639606200007,10
WOS:000479136300001,9
WOS:000508578800001,9
WOS:000510202700004,9
WOS:000518408900003,9
WOS:000518872800007,9
WOS:000526812700010,9
WOS:000531067000010,9
WOS:000538793200009,9
WOS:000541539100001,9
WOS:000561315900001,9
WOS:000566337400003,9
WOS:000552444700001,9
WOS:000560393300001,9
WOS:000570969000004,9
WOS:000576760800006,9
WOS:000590408400022,9
WOS:000592311100001,9
WOS:000593427800009,9
WOS:000561626100020,9
WOS:000600368100021,9
WOS:000602691500004,9
WOS:000616602900015,9
WOS:000623405700001,9
WOS:000492820400001,8
WOS:000505840900001,8
WOS:000514091000004,8
WOS:000515093400001,8
WOS:000515734900007,8
WOS:000518534600005,8
WOS:000520005500009,8
WOS:000551226600012,8
WOS:000556702700012,8
WOS:000574258800003,8
WOS:000582440500003,8
WOS:000581817500044,8
WOS:000585393600001,8
WOS:000586422400004,8
WOS:000587816800001,8
WOS:000592178500001,8
WOS:000595837000003,8
WOS:000645255700005,8
WOS:000474040300001,7
WOS:000479525700001,7
WOS:000496539100008,7
WOS:000561435400013,7
WOS:000510202700007,7
WOS:000514432800001,7
WOS:000518534600002,7
WOS:000519652400012,7
WOS:000521120500013,7
WOS:000522429400001,7
WOS:000530582400001,7
WOS:000531423300013,7
WOS:000534341600016,7
WOS:000537031300016,7
WOS:000542052300011,7
WOS:000545752700007,7
WOS:000551960200003,7
WOS:000561413900004,7
WOS:000558809000001,7
WOS:000560646800007,7
WOS:000562491800001,7
WOS:000565665800023,7
WOS:000575913700020,7
WOS:000582695300012,7
WOS:000582695300009,7
WOS:000586756100001,7
WOS:000593370200002,7
WOS:000598038000001,7
WOS:000582956300001,7
WOS:000573849800006,7
WOS:000538126100021,7
WOS:000599584300002,7
WOS:000602650600002,7
WOS:000601640000001,7
WOS:000636054900005,7
WOS:000646400100004,7
WOS:000646251800004,7
WOS:000685514100004,7
WOS:000479408600001,6
WOS:000505477400001,6
WOS:000507147000001,6
WOS:000511688800008,6
WOS:000515427900005,6
WOS:000517328400003,6
WOS:000528041400003,6
WOS:000532696900002,6
WOS:000532424500001,6
WOS:000533810900001,6
WOS:000533524600005,6
WOS:000541974100006,6
WOS:000543226300001,6
WOS:000548186100014,6
WOS:000552278100001,6
WOS:000554539900005,6
WOS:000558099700004,6
WOS:000563541300005,6
WOS:000560503100001,6
WOS:000563537900001,6
WOS:000567779700014,6
WOS:000572846900008,6
WOS:000575584900001,6
WOS:000578187400001,6
WOS:000592149300001,6
WOS:000592978700015,6
WOS:000599988900001,6
WOS:000639843700011,6
WOS:000471493400001,5
WOS:000494078000001,5
WOS:000495281100003,5
WOS:000524655700002,5
WOS:000514007700001,5
WOS:000518678200011,5
WOS:000521176400001,5
WOS:000525718600006,5
WOS:000532124100001,5
WOS:000532371600004,5
WOS:000534599100105,5
WOS:000539176000001,5
WOS:000540379200001,5
WOS:000540816400017,5
WOS:000541116800003,5
