Updated,03/06/2025

Currency,Rate VS USD
USD,1
AED,3.6725
AFN,73.260715
ALL,93.21601
AMD,394.289056
ANG,1.79
AOA,921.28713
ARS,1064.38
AUD,1.582956
AWG,1.79
AZN,1.700511
BAM,1.818151
BBD,2
BDT,121.636127
BGN,1.81932
BHD,0.376
BIF,2976.272334
BMD,1
BND,1.333737
BOB,6.953637
BRL,5.885262
BSD,1
BTN,86.995934
BWP,13.835686
BYN,3.257256
BZD,2
CAD,1.435586
CDF,2855.32699
CHF,0.889878
CLP,946.297207
CNY,7.250592
COP,4168.688577
CRC,504.505193
CUP,24
CVE,102.502987
CZK,23.269994
DJF,177.721
DKK,6.925783
DOP,62.491023
DZD,134.487337
EGP,50.667151
ERN,15
ETB,126.928974
EUR,0.929573
FJD,2.308493
FKP,0.777224
FOK,6.926537
GBP,0.777205
GEL,2.787029
GGP,0.777224
GHS,15.58418
GIP,0.777224
GMD,72.795151
GNF,8653.575765
GTQ,7.740079
GYD,210.130159
HKD,7.771317
HNL,25.652889
HRK,7.004115
HTG,131.719953
HUF,370.298415
IDR,16319.223772
ILS,3.611966
IMP,0.777224
INR,86.996024
IQD,1316.696329
IRR,42197.848584
ISK,136.827845
JEP,0.777224
JMD,157.195312
JOD,0.709
JPY,148.908454
KES,129.494885
KGS,87.43962
KHR,4026.850856
KID,1.584264
KMF,457.336088
KRW,1446.678996
KWD,0.309087
KYD,0.833333
KZT,496.905099
LAK,21843.690989
LBP,89500
LKR,295.053966
LRD,200.653778
LSL,18.337944
LYD,4.904533
MAD,9.813434
MDL,18.603648
MGA,4686.384431
MKD,58.093209
MMK,2106.985758
MNT,3456.448813
MOP,8.004342
MRU,40.085843
MUR,46.145289
MVR,15.447461
MWK,1744.099215
MXN,20.424775
MYR,4.430895
MZN,64.079458
NAD,18.337944
NGN,1499.004445
NIO,36.921202
NOK,10.952564
NPR,139.193494
NZD,1.751125
OMR,0.384497
PAB,1
PEN,3.66049
PGK,4.082463
PHP,57.299585
PKR,279.741978
PLN,3.865721
PYG,7938.351465
QAR,3.64
RON,4.646562
RSD,109.37168
RUB,90.028619
RWF,1426.215715
SAR,3.75
SBD,8.644611
SCR,14.675957
SDG,546.553433
SEK,10.231748
SGD,1.333714
SHP,0.777224
SLE,22.999108
SLL,22999.107913
SOS,573.85491
SRD,36.016725
SSP,4507.483941
STN,22.775343
SYP,13000.510599
SZL,18.337944
THB,33.634622
TJS,10.962155
TMT,3.510858
TND,3.119326
TOP,2.403779
TRY,36.482909
TTD,6.780895
TVD,1.584264
TWD,32.795234
TZS,2587.102981
UAH,41.386096
UGX,3683.337647
UYU,42.700059
UZS,12885.659508
VES,64.6116
VND,25535.924639
VUV,124.631509
WST,2.856818
XAF,609.78145
XCD,2.7
XDR,0.752373
XOF,609.78145
XPF,110.931723
YER,247.729527
ZAR,18.338034
ZMW,28.774859
ZWL,26.6032
